id,p_s,path,subject_id,text
0,"(['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'is produced by'], '<http://purl.oclc.org/NET/ssnx/ssn#isProducedBy>')","['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'is produced by']",<http://purl.oclc.org/NET/ssnx/ssn#isProducedBy>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> is produced by
1,"(['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', '<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>'], '<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>')","['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', '<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>']",<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> <http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>
2,"(['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'APConcentrationTime'], '<https://w3id.org/brainteaser/ontology/schema/APConcentrationTime>')","['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'APConcentrationTime']",<https://w3id.org/brainteaser/ontology/schema/APConcentrationTime>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> APConcentrationTime
3,"(['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'concentrationMeasurement'], '<https://w3id.org/brainteaser/ontology/schema/concentrationMeasurement>')","['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'concentrationMeasurement']",<https://w3id.org/brainteaser/ontology/schema/concentrationMeasurement>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> concentrationMeasurement
4,"(['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'measurementCalibrated'], '<https://w3id.org/brainteaser/ontology/schema/measurementCalibrated>')","['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'measurementCalibrated']",<https://w3id.org/brainteaser/ontology/schema/measurementCalibrated>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> measurementCalibrated
5,"(['<http://purl.oclc.org/NET/ssnx/ssn#SensingDevice>', 'coveredPlace'], '<https://w3id.org/brainteaser/ontology/schema/coveredPlace>')","['<http://purl.oclc.org/NET/ssnx/ssn#SensingDevice>', 'coveredPlace']",<https://w3id.org/brainteaser/ontology/schema/coveredPlace>,<http://purl.oclc.org/NET/ssnx/ssn#SensingDevice> coveredPlace
6,"(['Person', 'birthplace'], '<https://w3id.org/brainteaser/ontology/schema/birthplace>')","['Person', 'birthplace']",<https://w3id.org/brainteaser/ontology/schema/birthplace>,Person birthplace
7,"(['Person', 'enrolledIn'], '<https://w3id.org/brainteaser/ontology/schema/enrolledIn>')","['Person', 'enrolledIn']",<https://w3id.org/brainteaser/ontology/schema/enrolledIn>,Person enrolledIn
8,"(['Person', 'hasDisease'], '<https://w3id.org/brainteaser/ontology/schema/hasDisease>')","['Person', 'hasDisease']",<https://w3id.org/brainteaser/ontology/schema/hasDisease>,Person hasDisease
9,"(['Person', 'residence'], '<https://w3id.org/brainteaser/ontology/schema/residence>')","['Person', 'residence']",<https://w3id.org/brainteaser/ontology/schema/residence>,Person residence
10,"(['Person', 'birthYear'], '<https://w3id.org/brainteaser/ontology/schema/birthYear>')","['Person', 'birthYear']",<https://w3id.org/brainteaser/ontology/schema/birthYear>,Person birthYear
11,"(['Person', 'sex'], '<https://w3id.org/brainteaser/ontology/schema/sex>')","['Person', 'sex']",<https://w3id.org/brainteaser/ontology/schema/sex>,Person sex
12,"(['Person', 'Patient', 'hasEthnicity'], '<https://w3id.org/brainteaser/ontology/schema/hasEthnicity>')","['Person', 'Patient', 'hasEthnicity']",<https://w3id.org/brainteaser/ontology/schema/hasEthnicity>,Person Patient hasEthnicity
13,"(['Person', 'Patient', 'hasKinship'], '<https://w3id.org/brainteaser/ontology/schema/hasKinship>')","['Person', 'Patient', 'hasKinship']",<https://w3id.org/brainteaser/ontology/schema/hasKinship>,Person Patient hasKinship
14,"(['Person', 'Patient', 'hasOccupation'], '<https://w3id.org/brainteaser/ontology/schema/hasOccupation>')","['Person', 'Patient', 'hasOccupation']",<https://w3id.org/brainteaser/ontology/schema/hasOccupation>,Person Patient hasOccupation
15,"(['Person', 'Patient', 'tested'], '<https://w3id.org/brainteaser/ontology/schema/tested>')","['Person', 'Patient', 'tested']",<https://w3id.org/brainteaser/ontology/schema/tested>,Person Patient tested
16,"(['Person', 'Patient', 'undergo'], '<https://w3id.org/brainteaser/ontology/schema/undergo>')","['Person', 'Patient', 'undergo']",<https://w3id.org/brainteaser/ontology/schema/undergo>,Person Patient undergo
17,"(['Person', 'Patient', 'MSInPaediatricAge'], '<https://w3id.org/brainteaser/ontology/schema/MSInPaediatricAge>')","['Person', 'Patient', 'MSInPaediatricAge']",<https://w3id.org/brainteaser/ontology/schema/MSInPaediatricAge>,Person Patient MSInPaediatricAge
18,"(['Person', 'Patient', 'alive'], '<https://w3id.org/brainteaser/ontology/schema/alive>')","['Person', 'Patient', 'alive']",<https://w3id.org/brainteaser/ontology/schema/alive>,Person Patient alive
