path,subject_id,text,best_match_colname,best_match_score,best_match_idx
"['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'is produced by']",<http://purl.oclc.org/NET/ssnx/ssn#isProducedBy>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> is produced by,param_PM25,0.18637818,27-10
"['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', '<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>']",<http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> <http://www.wurvoc.org/vocabularies/om-1.8/unit_of_measure>,humidity_mean,0.2822415,0-22
"['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'APConcentrationTime']",<https://w3id.org/brainteaser/ontology/schema/APConcentrationTime>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> APConcentrationTime,timestamp,0.22729546,27-0
"['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'concentrationMeasurement']",<https://w3id.org/brainteaser/ontology/schema/concentrationMeasurement>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> concentrationMeasurement,humidity_num,0.24139625,0-21
"['<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration>', 'measurementCalibrated']",<https://w3id.org/brainteaser/ontology/schema/measurementCalibrated>,<http://ontology.eil.utoronto.ca/GCI/Environment/Pollution.owl#Air_pollution_concentration> measurementCalibrated,measurement,0.2509893,27-1
"['<http://purl.oclc.org/NET/ssnx/ssn#SensingDevice>', 'coveredPlace']",<https://w3id.org/brainteaser/ontology/schema/coveredPlace>,<http://purl.oclc.org/NET/ssnx/ssn#SensingDevice> coveredPlace,beat_to_beat_SDNNa,0.32133335,6-17
"['Person', 'birthplace']",<https://w3id.org/brainteaser/ontology/schema/birthplace>,Person birthplace,,,
"['Person', 'enrolledIn']",<https://w3id.org/brainteaser/ontology/schema/enrolledIn>,Person enrolledIn,bulbar_subscore,0.2778499,26-4
"['Person', 'hasDisease']",<https://w3id.org/brainteaser/ontology/schema/hasDisease>,Person hasDisease,onset_limb_type_upper-left-limb,0.17916474,25-105
"['Person', 'residence']",<https://w3id.org/brainteaser/ontology/schema/residence>,Person residence,residence_classification_Cities,0.22481868,12-10
"['Person', 'birthYear']",<https://w3id.org/brainteaser/ontology/schema/birthYear>,Person birthYear,packYear,0.2093454,25-14
"['Person', 'sex']",<https://w3id.org/brainteaser/ontology/schema/sex>,Person sex,sex_male,0.25338727,3-9
"['Person', 'Patient', 'hasEthnicity']",<https://w3id.org/brainteaser/ontology/schema/hasEthnicity>,Person Patient hasEthnicity,occupation_Legal_social_and_cultural_professionals,0.3296744,17-139
"['Person', 'Patient', 'hasKinship']",<https://w3id.org/brainteaser/ontology/schema/hasKinship>,Person Patient hasKinship,Type_PEG,0.30110803,24-5
"['Person', 'Patient', 'hasOccupation']",<https://w3id.org/brainteaser/ontology/schema/hasOccupation>,Person Patient hasOccupation,centre_T,0.20509976,26-20
"['Person', 'Patient', 'tested']",<https://w3id.org/brainteaser/ontology/schema/tested>,Person Patient tested,Type_NIV,0.45383525,24-3
"['Person', 'Patient', 'undergo']",<https://w3id.org/brainteaser/ontology/schema/undergo>,Person Patient undergo,pelvic_surgery_more_than_5_years,0.31933218,17-66
"['Person', 'Patient', 'MSInPaediatricAge']",<https://w3id.org/brainteaser/ontology/schema/MSInPaediatricAge>,Person Patient MSInPaediatricAge,ms_in_pediatric_age,0.45074785,3-0
"['Person', 'Patient', 'alive']",<https://w3id.org/brainteaser/ontology/schema/alive>,Person Patient alive,alive,0.39641067,25-2
"['Person', 'Patient', 'deathCause']",<https://w3id.org/brainteaser/ontology/schema/deathCause>,Person Patient deathCause,Type_DEATH,0.53666764,24-2
"['Person', 'Patient', 'deathDate']",<https://w3id.org/brainteaser/ontology/schema/deathDate>,Person Patient deathDate,Type_DEATH,0.46113926,16-2
"['Person', 'Patient', 'dextricity']",<https://w3id.org/brainteaser/ontology/schema/dextricity>,Person Patient dextricity,onset_limb_type_lower-distal-proximal-right-limb,0.33964276,25-91
"['Person', 'Patient', 'educationLevel']",<https://w3id.org/brainteaser/ontology/schema/educationLevel>,Person Patient educationLevel,occupation_Teaching_professionals,0.42705142,25-157
"['Person', 'Patient', 'genomeSequencing']",<https://w3id.org/brainteaser/ontology/schema/genomeSequencing>,Person Patient genomeSequencing,TARDBP mutation_True,0.41339657,17-173
"['Person', 'Patient', 'maritalStatus']",<https://w3id.org/brainteaser/ontology/schema/maritalStatus>,Person Patient maritalStatus,occupation_Legal_social_and_cultural_professionals,0.3737561,25-139
"['Person', 'Patient', 'menopauseStatus']",<https://w3id.org/brainteaser/ontology/schema/menopauseStatus>,Person Patient menopauseStatus,sex_Female,0.2834068,25-70
"['Person', 'Patient', 'notes']",<https://w3id.org/brainteaser/ontology/schema/notes>,Person Patient notes,occupation_Numerical_and_material_recording_clerks,0.42121124,17-145
"['Person', 'Patient', 'retiredAtDiagnosis']",<https://w3id.org/brainteaser/ontology/schema/retiredAtDiagnosis>,Person Patient retiredAtDiagnosis,retired_at_diagnosis_True,0.39599836,25-159
"['Person', 'Nicola Ferro']",<https://orcid.org/0000-0001-9219-6239>,Person Nicola Ferro,,,
"['Person', 'Giorgio Maria Di Nunzio']",<https://orcid.org/0000-0001-9709-6392>,Person Giorgio Maria Di Nunzio,,,
"['Person', 'Laura Menotti']",<https://orcid.org/0000-0002-0676-682X>,Person Laura Menotti,,,
